Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)	
870		36/24	4°	Papier	I, 249, I	22:14	1447	55			1450	73v, 91, 98, 128, 193		1451	129, 196, 231, 245v, 249																			Benediktinerstift St. Lambrecht				
871		36/23	4°	Papier	253	22:14												XV/1																Zisterzienserstift Neuberg				
872		36/33	4°	Papier	164	22:15												XIV/2																Benediktinerstift St. Lambrecht ?				
873		36/16	4°	Papier	294	21:14	1421	79			1437	88																						Zisterzienserstift Neuberg				
874		36/17	4°	Papier, Pergament	258	22:15												XV/1		XIV	ab 229													Jesuitenkollegium Graz				Papier u. (Bl. 229-258) Pergament 
875		36/18	4°	Papier	I, 217	22:14	1413	228v																										Zisterzienserstift Neuberg				
876		36/19	4°	Papier	249	21:15												XV/1		XIV/2		133-207, 222-241												Benediktinerstift St. Lambrecht				
877		36/14	4°	Papier	260	22:14	1459	143v			1459	237v																						Zisterzienserstift Neuberg				
878		37/27	4°	Pergament	247	22:15																		um 1300										Dominikanerkloster in Wiener Neustadt				
879		37/11	4°	Pergament	250	22:15												XIV																Zisterzienserstift Neuberg				
880		37/9	4°	Papier	438	22:14	1446	10v																										Zisterzienserstift Neuberg				Bl. 1 fehlt
881		36/8	4°	Papier	I, 371	22:14	1444	143																										Zisterzienserstift Neuberg				
882		37/21	4°	Pergament	I, 258, I	22:15												XV/1																Benediktinerstift St. Lambrecht				
883		37/22	4°	Papier	I, 252, I	22:15	1439	59			1440	97v, 168, 204, 251																						Zisterzienserstift Neuberg				
884		37/23	4°	Papier	309	22:15	1470	225v, 259v										XV/2																Zisterzienserstift Neuberg				
885		37/24	4°	Papier	326	22:15	1446	47v																										Zisterzienserstift Neuberg				
886		41/66	4°	Pergament	271	22:15												XIII/2																Zisterzienserstift Neuberg				
887		37/54	4°	Papier	I, 222, I	22:15	1430	16			1434	57		1434	115v																			Zisterzienserstift Neuberg				
888		37/8	4°	Papier	I, 263, I	22:15												XV																Zisterzienserstift Neuberg				
889		42/49	4°	Papier	214	22:15	1442	68			1433	75		1437	138																			Zisterzienserstift Neuberg				
890				Papier	139	22:17												XVIII/1																Jesuitenkollegium Graz				
891	1	42/44	4°	Papier	246	21:16												XVII/2																			von Zotter katalogisiert	
891	2	42/44	4°	Papier	170	21:16												XVII/2																			von Zotter katalogisiert	
892		42/45	4°	Papier	72	22:15												XIV/2																Benediktinerstift St. Lambrecht				
893	1			Papier	262	21:16				1735-1738																												
893	2			Papier	125	21:16				1735-1738																												
894		38/38	4°	Papier	307	22:15												XV/2																Zisterzienserstift Neuberg				
895		37/51	4°	Papier	I, 295, I	22:15	1462	234, 253v, 271v, 295v			1463	11v		1464	1																			Zisterzienserstift Neuberg				
896		37/18	4°	Papier	153	22:15												XV/2																				
897		37/16	4°	Papier	200	22:14	1486																											Zisterzienserstift Neuberg				
898		38/14	4°	Papier	I, 212, I	21:15	1433	187			1435	201		1435	207v																			Zisterzienserstift Neuberg				
899		37/36	4°	Papier	I, 191	22:15												XV																Benediktinerstift St. Lambrecht				
900		38/51	4°	Papier	I, 339, I	22:14												XV/1																Zisterzienserstift Neuberg				
901		37/55	4°	Papier	145	21 : 15	1396	145																										Benediktinerstift St. Lambrecht				
902*		38/6	4°	Papier	I, 228, I	22 : 15 												XV/1																Zisterzienserstift Neuberg				
903		38/45	4°	Papier	I, 200, I	22 : 14												XIV/2																Chorherrenstift Seckau				
904		38/3	4°	Papier	355	22 : 15 	1425	51																										Benediktinerstift St. Lambrecht				
905		36/30	4°	Papier	 I, 183, I	21 : 14																		Mitte XV										Zisterzienserstift Neuberg				
906		36/27	4°	Papier	134	21 : 15												 XV/1																Kartause Seitz				
907		37/15	4°	Papier	143	22 : 15	1385	50			1385	141																						Zisterzienserstift Neuberg				
908		37/49	4°	Papier	I, 128	21 : 15	1353	67v																										Zisterzienserstift Neuberg				
909		37/13	4°	Papier	298, I	21 : 15	1466	235v			1459	293																						Chorherrenstift Seckau				
910		37/10	4°	Papier	I, 145, I	21 : 14	1487	6v			1484	42																						Kartause Seitz				
911		37/12	4°	Papier	114	22 : 14																		Mitte XIV										Zisterzienserstift Neuberg				
912		37/26	4°	Papier	I, 288, I	22 : 14	1470	137v																										Jesuitenkollegium Graz				
913		38/4	4°	Papier	285	22 : 14	1457	256																nach Mitte XV										Zisterzienserstift Neuberg				
914				Papier	62	26 : 16																		ca. 1790														
915		33/51	4°	Papier	111	25 : 17												XIX/1																			katalogisiert Zotter	
916		33/2	4°	Pergament	139	24 : 16																		um 1200										Chorherrenstift Seckau				
917				Papier, Pergament	136	23 : 17																		Ende XIV 													Papier u. (das äußerste und innerste Blatt jeder Lage) Pergament	
918	1			Papier		23 : 18																		vor 1810														
918	2			Papier		23 : 18																		vor 1810														
918	3			Papier		23 : 18																		vor 1810														
918	4			Papier		23 : 18																		vor 1810														
918	5			Papier		23 : 18																		vor 1810														
918	6			Papier		23 : 18																		vor 1810														
918	7			Papier		23 : 18																		vor 1810														
919				Papier	III, 182	23 : 17												XVIII/1																				
920				Papier	77	23 : 17												XVI																				
921		33/15	4°	Papier	275	32 : 17												XVIII																				
922				Papier	166, I 17	22 : 17												XVIII/1																				
923		38/42	4°	Papier	71	22 : 15	1481	71																										Zisterzienserstift Neuberg				
924		37/25	4°	Papier	218	22 : 15												XV/1																Zisterzienserstift Neuberg				
925		37/31	4°	Papier	I, 222	21 : 14												XV/1																Zisterzienserstift Neuberg				
926		33/52	4°	Papier	I, 242 I	22 : 14												XV/2																Benediktinerstift St. Lambrecht				
927				Papier	253	22 : 17	1770	1																										Jesuitenkollegium Graz				
928		35/4	4°	Papier	227	22 : 14	1438	189																														
929		34/83	8°	Papier	VI, 235	22 : 16	1635																											Benediktinerstift St. Lambrecht				
930		34/84	4°	Papier	206	22 : 17				1748-1749																												
931		34/90	4°	Papier	154	22 : 15												XV																				
932		38/34	4°	Pergament	147	22 : 17												XV/2																				
933		33/6	4°	Pergament	122	21 : 15												XII																Benediktinerstift St. Lambrecht				
934		34/8	4°	Papier	121	22 : 15												XV																Jesuitenkollegium Graz				
935		35/24	4°	Papier	I, 207	23 : 15												XV																Kartause Seitz				
936		33/7	4°	Papier	I, 299, I	22 : 15	1456	41v																										Benediktinerstift St. Lambrecht				
937				Papier	545	21 : 16				1749-1756																												
938				Papier	351	21 : 16																		Mitte XVIII 										Jesuitenkollegium Graz				
939				Papier	350	22 : 18				1842-1843																												
940		35/12	4°	Papier	419	22 : 15												XV/1		XIV/2	ab 360													Benediktinerstift St. Lambrecht				
941		35/13	4°	Papier	190	21 : 14												XIV/2																Benediktinerstift St. Lambrecht				
942		35/14	4°	Papier	I, 329, I	22 : 14												XV/1																Benediktinerstift St. Lambrecht				
943		38/1	4°	Papier	441	22 : 14	1462	433																										Zisterzienserstift Neuberg				
944		38/15	4°	Papier	270	22 : 14												XV																Zisterzienserstift Neuberg				
945		38/33	4°	Papier	241	22 : 14												XV/1																Zisterzienserstift Neuberg				
946		39/27	4°	Pergament	I, 80	22 : 14												XIII/2																Benediktinerstift St. Lambrecht				
947				Papier		22 : 16																		1737, 1738										Zisterzienserstift Neuberg			947-949 3 Bde 1737 u. 1738	
948				Papier		22 : 16																		1737, 1738										Zisterzienserstift Neuberg				
949				Papier		22 : 16																		1737, 1738										Zisterzienserstift Neuberg				
950		38/7	4°	Papier	203	21 : 16																		um 1600														
951		38/37	4°	Papier	276	22 : 14	1458	32			1432	62		1454	214v																			Zisterzienserstift Neuberg				
952		33/8	4°	Papier	I, 119	22 : 14												XV																Zisterzienserstift Neuberg				
953		33/9	4°	Papier	226	21 : 14	1499	132			1507	196																						Chorherrenstift Seckau				
954		34/7	4°	Papier	186	22 : 15																		um 1400										Benediktinerstift St. Lambrecht				
955		38/16	4°	Papier	215	22 : 14												XV/1																Zisterzienserstift Neuberg				
956				Papier	I, 249	21 : 16	1585																															
957		38/22	4°	Papier	152	22 : 14												XV																Zisterzienserstift Neuberg				
958				Papier	II, 502	22 : 16																		um 1600										Jesuitenkollegium Graz				
959				Papier	302	21 : 16	1676																															
961		37/4	4°	Papier	322	21 : 15																		Mitte XV										Zisterzienserstift Neuberg				
962		37/20	4°	Papier	329	22 : 14												XV																Zisterzienserstift Neuberg				
963				Papier	I, 122	22 : 16	1538	74																													vide ms-kat, Entstehungsort Passau	
964		34/2	4°	Papier	I, 297, I	22 : 15	1454	165			1469	180		1436	208v			XV																Zisterzienserstift Neuberg			1441 (Bl. 275), 1442 (Bl. 280)	
965		35/25	4°	Papier	III, 239	22 : 15												XV																Benediktinerstift St. Lambrecht				
966		34/43	4°	Papier	I, 581	22 : 15												XV																Kartause Seitz				
967		35/18	4°	Papier	313	22 : 14																		Mitte XV										Benediktinerstift St. Lambrecht				
968		35/20	4°	Papier	II, 302, II	21 : 15	1433	141v										XV																Benediktinerstift St. Lambrecht				
969		35/21	4°	Papier	I, 230, I	22 : 14	1440	127										XV																Chorherrenstift Seckau				
970		36/48	4°	Papier	I, 129	22 : 15												XV																Zisterzienserstift Neuberg				
971		35/19	4°	Papier	I, 247	22 : 14												XV																Benediktinerstift St. Lambrecht				
972		35/22	4°	Papier	I, 198, I	22 : 14	1435	163v										XV																Kartause Seitz				
973		35/23	4°	Papier	I, 235, I	22 : 14												XV																Kartause Seitz				
974		39/9	4°	Pergament	104	22 : 16												XIV																Benediktinerstift St. Lambrecht				
975		39/8	4°	Pergament	175	21 : 15																		Ende XIII										Jesuitenkollegium Graz				
976		38/43	4°	Papier	218	22 : 15	1441	47, 52v										XV																Benediktinerstift St. Lambrecht				
977		38/49	4°	Papier, Pergament	I, 362, I	22 : 15	1461	362v																										Dominikanerkloster Pettau			Papier und das innerste Blatt jeder Lage Pergament	
978		38/46	4°	Papier	I, 336	22 : 14	1464	192																										Zisterzienserstift Neuberg				
979		34/3	4°	Papier	IV, 214	21 : 15	1361	141v			1373	186v		1370	214v			XIV																Kartause Seitz				
980		38/31	4°	Papier	211	22 : 15												XV																Zisterzienserstift Neuberg				
981		34/6	4°	Papier	436	22 : 16																		um 1600										Kartause Seitz				
982		38/52	4°	Papier	I, 293, I	21 : 14	1435	249v										XV																Zisterzienserstift Neuberg				
983		38/50	4°	Papier	187	22 : 14	1464	46, 82			1468	159v, 176v, 183																						Zisterzienserstift Neuberg				
984		38/44	4°	Papier	I, 285	22 : 14	1438	109v, 111v, 116			1439	125		1440	129																			Zisterzienserstift Neuberg			1445 (Bl. 196v)	
985		35/15	4°	Papier	271	22 : 14	1438	46v																										Benediktinerstift St. Lambrecht				
986		34/5	4°	Papier	I, 390, I	22 : 14												XV																			Onlinekat.: Seiten angaben zu Datierung oder 2Sp.???	
987		34/12	4°	Pergament	261	22 : 15												XIV/1																Zisterzienserstift Neuberg				
988		34/4	4°	Papier	463	21 : 14	1509	463																										Kartause Seitz				
989		36/16	4°	Papier	I, 252, I	22 : 15												XV/2																Benediktinerstift St. Lambrecht				
990		35/17	4°	Papier	174	22 : 14	1417	81			1366	156						XIV/2	131-174																			
991		37/14	4°	Papier	263	22 : 14	1437	46			1438	84v																						Zisterzienserstift Neuberg				
992		36/49	4°	Papier	168	22 : 14	1464	168			1470	133v																						Zisterzienserstift Neuberg				
993		35/57	4°	Papier	202	21 : 15												XV/2																				
994				Papier	200	21 : 17																		nach 1738														
995				Papier	II, 22 	22 : 17	1739																															
996				Papier	64	21 : 14	1579	1, 27v, 48v, 49, 61																										Jesuitenkollegium Graz				
997				Papier	64	21 : 16																		Ende XVI										Jesuitenkollegium Graz				
998				Papier	83	20 : 16												XVII																				
999				Papier	87	21 : 15																		vor 1700														
1000		34/42	4°	Papier	59	22 : 15	1416	21			1420	52		1416	59																							
1001		40/19	4°	Pergament	385	21:15												XIV																Chorherrenstift Seckau				
1002		39/14	4°	Pergament	I, 81	22:15												XII																Zisterzienserstift Neuberg				
1003		38/2	4°	Pergament	150	22:15												XIV/2																Dominikanerkonvent in Wiener Neustadt ?				
1004		36/9	4°	Papier	334	22:15	1417	333																										Benediktinerstift St. Lambrecht				
1005		38/48	4°	Papier	297	21:14	1465	71										XV/2																Zisterzienserstift Neuberg				
1006		37/17	4°	Papier	184	22:15												XIV																Zisterzienserstift Neuberg				
1007		39/20	4°	Pergament	63	21:15												XV/1																Chorherrenstift Seckau				
1008		37/28	4°	Papier	219	22:15												XV																Benediktinerstift St. Lambrecht				
1009		36/21	4°	Papier	253	22:15												XV																Chorherrenstift Seckau				
1010		39/2	8°	Pergament	I, 71	22:15												XIII																Zisterzienserstift Neuberg				
1011		36/5	4°	Papier	I, 150	21:15	1438	28v										XIV/2	ab 58															Benediktinerstift St. Lambrecht				
1012		39/4	8°	Pergament	114	21:15												XIII																Benediktinerstift St. Lambrecht				
1013		39/5	8°	Pergament	I, 218	21:15												XIV																Dominikanerkloster Pettau				
1014		36/10	4°	Papier	317	21:15												XV																Zisterzienserstift Neuberg				
1015		39/31	4°	Pergament	80	21:15	1450	56v										XV																Benediktinerstift St. Lambrecht				
1016		39/19	4°	Pergament	71	21:15												XIV/1																				
1017		36/58	4°	Papier	117	21:15																		um 1400										Zisterzienserstift Neuberg				
1018		37/46	4°	Papier	253	20:16	1735	157v																														
1019		37/35	4°	Papier	213	20:16												XVIII/1																				
1020			 	Papier	246	20:15																		um 1715														
1021		37/34	4°	Papier	250	20:15	1712	38																														
1022				Papier	170	21:16	1740																															
1023				Papier	265	21:16																		um 1600														
1024				Papier	156	21:15																		um 1674														
1025		39/13	4°	Pergament	142	21:16																		um 1300										Benediktinerstift Millstatt		Jesuitenkollegium Graz		
1026		35/30	4°	Papier	I, 111, I	21:15												XIV/2																Benediktinerstift St. Lambrecht				
1027		39/7	4°	Pergament	179	20:13												XIII																Benediktinerstift St. Lambrecht				
1028		39/16	4°	Pergament	119	21:15												XII/2																Benediktinerstift St. Lambrecht				
1029		39/3	8°	Pergament	I, 190	21:15																		Ende XIII														
1030		38/62	4°	Papier	403	21:15												XVII																				
1031		38/63	4°	Papier	346	20:15												XVII																				
1032		38/36	4°	Papier	I, 285	22:14												XV																Zisterzienserstift Neuberg				
1033		33/61	4°	Papier	138	22:14	1392				1393																										ungebunden, ohne Lagen ineinandergebudnen	
1034				Papier	X, 317	22:15	1579																											Benediktinerstift St. Lambrecht				
1035		34/11	4°	Papier	I, 468	21:15												XV/2																				
1036		38/54	4°	Papier	171	21:17												XVII																				
1037		38/30	4°	Papier	184	22:15												XV																Benediktinerstift St. Lambrecht				
1038	1			Papier	II, 332					1589-1590																								Benediktinerstift St. Lambrecht				
1038	2			Papier	458					1589-1590																								Benediktinerstift St. Lambrecht				
1039		34/47	4°	Papier	355	21:14																		Mitte XV										Benediktinerstift St. Lambrecht				
1040		35/6	4°	Papier	180	22:15	1442	96			1442	105v		1439	179v																			Kartause Seitz				
1041		38/28	4°	Papier	I, 263, I	22:15	1436	258v			1437	262		1441	263v																			Zisterzienserstift Neuberg				
1042		38/29	4°	Papier	251	22:15												XV																Zisterzienserstift Neuberg				
1043		38/24	4°	Papier	192	22:14																		um 1400										Zisterzienserstift Neuberg				
1044		38/25	4°	Papier	266	21:15	1435	61v			1435	125		1435	177v	1435	182v																	Zisterzienserstift Neuberg				
1045		38/26	4°	Papier	264	22:15												XV/1																Zisterzienserstift Neuberg				
1046		41/73	4°	Pergament	78	21:15												XII																Benediktinerstift St. Lambrecht				
1047		41/74	4°	Pergament	116	22:17																		Ende XIII										Benediktinerstift St. Lambrecht				
1048		38/27	4°	Papier	160	21:16												XVIII																Benediktinerstift St. Lambrecht				
1049		41/67	4°	Pergament	I, 244	22:15												XIII																Zisterzienserstift Neuberg				
1050		41/68	4°	Pergament	166	21:16																		um 1300										Zisterzienserstift Neuberg				
1051		41/80	4°	Papier, Pergament	344	21:14												XV																Chorherrenstift Seckau			Papier und Pergament (das äußerste und innerste Blatt jeder Lage)	
1052		41/63	4°	Pergament	271	20:16												XIII/2																Chorherrenstift Seckau				
1053		41/58	4°	Pergament	288	21:15												XIII/2																Benediktinerstift St. Lambrecht 				
1054		42/30	4°	Papier 	261	22:14	1469	22v			1479	183																						Benediktinerstift St. Lambrecht 				
1055		42/31	4°	Papier, Pergament	169	22:15												XIV/1	2-13, 22-25	XIV/2	14-21			um 1400		26-168								Benediktinerstift St. Lambrecht 			Pergament, ab Bl. 26 Papier	
1056		42/32	4°	Papier	249	22:16												XVIII																				
1057		42/39	4°	Papier	336	21:16												XVIII																Benediktinerstift St. Lambrecht 				
1058		35/37	4°	Papier	III, 253	21:14																		vor 1477										Chorherrenstift Seckau				
1059				Papier	I, 117	21:16	1734																															
1060		42/36	4°	Papier	II, 172	22:15												XV																Zisterzienserstift Neuberg 				
1061		42/47	4°	Papier	343	21:15												XV																Chorherrenstift Seckau				
1062		42/46	4°	Papier	47	20:15																		nach 1550 	 29v													
1063				Papier	115	21:16	1730																															
1064				Papier	240	20:16				1716-1719																												
1065		35/42	4°	Papier	IV, 133	20:15																		ca. 1718														
1066		35/43	4°	Papier	IV, 140	21:16	1718	1			1719	12v																										
1067		35/50	4°	Papier	92	20,5:16	1754																														Katalogisat Zotter	
1068		35/49	4°	Papier	150	21:15																		um 1400										Kartause Seitz				
1069		39/11	4°	Pergament	142	21:15																		um 1200										Chorherrenstift Seckau				
1070		35/8	4°	Papier	159	20:15																		Anfang XV										Benediktinerstift St. Lambrecht				
1071				Papier	503	20:15				1697-1698																												
1072		35/58	4°	Papier	156	21:15												XIV																				
1073		42/52	4°	Papier	643	20:16	1621																														Katalogisat Zotter	
1074		38/65	4°	Papier	I, 169	21:15												XV																Zisterzienserstift Neuberg 				
1075		35/44	4°	Papier	93	20:16				1719-1720																											"Vom 7. Nov. 1719 bis 21. Juni 1720. 
"	
1076		35/51	4°	Papier	297	20:15												XVII																				
1077	1	34/62	4°	Papier	II, 230	20:15	1604	1																														
1077	2	34/62	4°	Papier	III, 280	20:15	1605	166																														
1078		35/31	4°	Papier	II, 189, II	21:14																		Ende XIV										Kartause Seitz				
1079	1	34/60	4°	Papier	281	20:15				1637-1639																												
1079	2	34/60	4°	Papier	186	20:15				1637-1639																												
1080		35/1	4°	Papier	355	22:14												XV																				
1081		35/26	4°	Papier	180, I	21:14												XV/2																Benediktinerstift St. Lambrecht				
1082		35/34	4°	Papier	189	22:15	1390	187																										Kartause Seitz				
1083		35/32	4°	Papier	I, 211	20:14												XIV/2																Kartause Seitz				
1084		37/5	4°	Papier	I, 238, I	22:15																		Ende XIV										Dominikanerkloster Pettau			Neuberger Nr. = Pettauer Nr. !	
1085	1	37/44	4°	Papier	298	21:14												XV/1																Zisterzienserstift Neuberg				
1085	2	37/32	4°	Papier	I, 275, I	21:14												XV/1																Zisterzienserstift Neuberg				
1086		35/35	4°	Papier	303	21:15												XV/1																Kartause Seitz				
1087		41/54	4°	Pergament	170	21:16												XIV/1																Benediktinerstift St. Lambrecht				
1088		42/20	4°	Papier	I, 259, I	21:14	1482	70			1481	87v						XV/2																Zisterzienserstift Neuberg				
1089		37/53	4°	Papier	I, 177, I	21:14												XIV/2																Benediktinerstift St. Lambrecht				
1090		37/6	4°	Papier	138	21:15												XV/2																				
1091		35/27	4°	Papier	190	21:16												XVIII																				
1092		35/28	4°	Papier	235	21:15	1734																															
1093		35/29	4°	Papier	293	21:14												XV																Benediktinerstift St. Lambrecht				
1094		35/36	4°	Papier	161	21:14																		um 1400										Benediktinserstift Millstatt				
1095		39/10	4°	Pergament	232	20:15												XIII/2																Benediktinerstift St. Lambrecht				
1096		39/6	4°	Pergament	II, 161	20:14												XIV/1																Benediktinerstift St. Lambrecht				
1097		35/9	4°	Papier	308	20:15	1611																											Benediktinerstift St. Lambrecht			Sign. fehlt bei Kern, s. HS 1159	
1098		38/23	4°	Papier	IV,593	19:15	1625																											Benediktinerstift St. Lambrecht				
1099		39/30	4°	Pergament	122	20:16																		Ende XII										Benediktinerstift St. Lambrecht				
1100	1	42/60	4°	Papier	437	20:16																		um 1710														
1100	2	42/60	4°	Papier	307	20:16																		um 1710														
1101		42/61	4°	Papier	515	20:15	1717																											Chorherrenstift Seckau			sign. Fehlt bei Kern	
1102		42/57	4°	Papier	243	21:16	1588	145																														
1103		42/53	4°	Papier	II, 599	20:15				1617-1618																												
1104		42/54	4°	Papier	549	20:15				1618-1621																											sign. Fehlt bei Kern	
1105		38/64	4°	 	155	20:16												XVII/2																			sign. Fehlt bei Kern, s. Ms 1063	
1106		38/66	4°	Papier	356	20:15				1683-1685																												
1107		42/19	4°	Papier	729	20:15				1617-1621																											sign. Fehlt bei Kern, s. Ms 1103	
1108			4°	Papier	86	17:11																		vor 1830														
1109		42/24	4°	Papier	435	20:15				1654-1665																												
1110		42/25	4°	Papier	221	20:15	1612																															
1111		38/58	4°	Papier	216	21:15	1715																															
1112	1	42/59	4°	Papier	259	20:16				1708-1709																												
1112	2	42/59	4°	Papier	430	20:16				1708-1709																												
1112	3	42/59	4°	Papier	214	20:16				1708-1709																												
1113		38/68	4°	Papier	191	20:15												XVIII																				
1114		38/69	4°	Papier	165	20:15	1708																															
1115		34/52	4°	Papier	X, 312, II	19,5:15																		um 1708													sign. Fehlt bei Kern	
1116				Papier	215	19:15	1629																															
1117				Papier	311	19:15	1631																															
1118				Papier	66	19:15																		um 1600														
1119		39/1	8°	Pergament	VII, 244	21:14																		Ende XII										Chorherrenstift Seckau				
1120				Papier	127	20:16	1690																															
1121		39/12	4°	Pergament	128	20:15												XIV																Benediktinerstift St. Lambrecht				
1122				Papier	I, 164	20:16	1667																															
1123		38/9	4°	Papier	121	20:16																		um 1500										Benediktinerstift St. Lambrecht				
1124				Papier	261	20:16												XVI																				
1125		42/37	4°	Pergament	58	22:16												XV 																				
1126				Papier	76	21:16																		nach  1620										Kartause Seitz				
1127		37/19	4°	Papier	IV, 186, IV	22:15	1455	64																														
1128		37/50	4°	Papier	I, 260, I	21:15	1439	99v, 101v, 104			1440	114v		1450	138	1459	196v, 243																					
1129		41/51	4°	Pergament	243	21:16																		um 1300										Chorherrenstift Seckau				
1130		38/55	4°	Papier	II, 333, I	20:16	1589																										Simon Ammonius	Benediktinerstift St. Lambrecht			sign. Fehlt bei Kern, s. Ms 1038	
1131		33/64	4°	Papier	204	21:16	1730	202v																														
1132		36/62	4°	Papier	84	21:15																		Ende XIV										Zisterzienserstift Neuberg				
1133		42/56	4°	Pergament	72	21:15												XIV																Benediktinerstift St. Lambrecht				
1134		36/36	4°	Papier	282	21:16												XVII/1																				
1135		36/39	4°	Papier	180	21:15	1472	180																										Benediktinerstift St. Lambrecht				
1136		36/37	4°	Papier	93	21:15																		um 1400										Benediktinerstift St. Lambrecht				
1137		36/38	4°	Papier	198	22:15																		Ende XIV		Anfang XV		ab 95						Benediktinerstift St. Lambrecht				
1138				Papier	264	22:16																		Ende XVI														
1139				Papier	269	21:16	1581	248																														
1140		36/42	4°	Papier	182	21:15	1359	135v										XV		XIV/2	93-100, 113-182													Benediktinerstift St. Lambrecht ?				
1141		36/43	4°	Papier	223	21:15	1474	66v			1474	78		1481	196v																						Die Bl. 1-3, 13, 14, 77, 98-113 fehlen	
1142				Papier	226	20:16												XVIII/1																				
1143				Papier	243	19:13	1622				1623																											
1144		37/30	4°	Papier	IV, 317, I	06:16	1580																														Katalogisat Zotter s. Hs 1139	
1145		36/51	4°	Papier, Pergament	125	21:15	1410	80										XIV		XV/1	37-93													Zisterzienserstift Neuberg			Papier und einige Blätter Pergament	
1146				Papier	VII, 463	20:16												XVIII																				
1147				Papier	383	20:15																		ca. 1720														
1148				Papier	310	20:16	1681																															
1149				Papier	200	20:15	1626																															
1150				Papier	229	22:16	1734																															
1151				Papier	493	20 : 15	1643																															
1152		42/33	4°	Papier	X, 150	20 : 14																		nach 1650														
1153				Papier	325	20 : 16				1636-1638																												
1154				Papier	123	20 : 16	1735																															
1155				Papier	309	20 : 15				1667-1669																												
1156		36/29	4°	Papier	252	20 : 15				1643-1644																												
1157	1	36/20	4°	Papier	320	19 : 15												XVIII																			Katalogisat Zotter s. Hs 1146	
1157	2	36/20	4°	Papier	436	19 : 15												XVIII																Kartause Seitz			Katalogisat Zotter s. Hs 1146	
1158				Papier	359	20 : 15	1610																															
1159	1			Papier	228	20 : 15	1607																															
1159	2			Papier	324	20 : 15	1608																															
1160		36/53	4°	Papier	221	20 : 15	1627																															
1161				Papier	363	20 : 14	1614 				1615			1617																								
1162		36/55	4°	Papier	105	20 : 15												XVII																				
1163				Papier	158	20 : 15	1621																															
1164				Papier	210	20 : 14				1615-1617																												
1165		42/58	4°	Papier	339	20 : 16												XVIII																				
1166				Papier	137	20 : 15				1717-1718																												
1167		37/33	4°	Papier	243	20 : 15	1613	222																													Katalogisat Zotter s. Hs. 1199 vgl. Hs 1110	
1168		36/47	4°	Papier	170	20 : 16	1648	1			1650	169v																										
1169		36/57	4°	Papier	136	20 : 15																		nach 1658 	131													
1170		36/59	4°	Papier	266	20 : 15	1621	167																														
1171		37/40	4°	Papier	172	20 : 16												XVIII																Chorherrenstift Rottenmann				
1172				Papier	344	20 : 13				1622-1624																												
1173				Papier	101	20 : 15	1715																															
1174	1			Papier		20 : 15																		um 1700														
1174	2			Papier		20 : 15																		um 1700														
1174	3			Papier		20 : 15																		um 1700														
1175		37/38	4°	Papier	381	19 : 15												XVII																				
1176				Papier	361	20 : 16				1630-1632																												
1177		36/60	4°	Papier	167	20 : 15	1641	167v																														
1178				Papier	85	20:15																		um 1600														
1179		36/64	4°	Papier	154	19:16	1709	37v																														
1180		37/56	4°	Papier	119	21 : 14	1386	102v			1387	106																						Zisterzienserstift Neuberg				
1181		37/57	4°	Papier	162	20 : 15												XIV/2																				
1182				Papier	141	20 : 15																		Ende XVI														
1183				Papier	94	20 : 16	1704																															
1184				Papier	202	20 : 15																		XVII										Jesuitenkollegium Leoben				
1185				Papier	375	19 : 13	1688																															
1186				Papier	78	19 : 15	1748																															
1187				Papier	118	19 : 13												XVIII/1																				
1188				Papier	37	20 : 15	1607																															
1189				Papier	130	20 : 15																		vor 1691														
1190				Papier	588	20 : 15				1668-1670																								Chorherrenstift Stainz (?)				
1191	1			Papier		20 : 15				1603-1606																												
1191	2			Papier		20 : 15				1603-1606																												
1191	3			Papier		20 : 15				1603-1606																												
1192				Papier	280	20 : 16	1728																											Jesuitenkollegium Graz				
1193				Papier	204	20 : 16												XVII/1																				
1194	1			Papier		21 : 16				1717-1720																												
1194	2			Papier		21 : 16				1717-1720																												
1194	3			Papier		21 : 16				1717-1720																												
1195		33/42	4°	Papier	360	19 : 16												XVII																				
1196		37/60	4°	Papier	146	20 : 14	1628	1			1629	143v																										
1197		37/61	4°	Papier	86	20 : 15												XVII																				
1198				Papier	205	20 : 15												XVII																				
1199				Papier	458	20 : 15				1610-1611																												
1200				Papier	148	19 : 15																		um 1720														
