Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
1523		34/7	8°	Papier	237	16:11																		nach 1615										Kartause Seitz			
1524		42/126	4°	Pergament	277	16:12												XIV																Zisterzienserstift Neuberg			
1525		39/58	4°	Pergament	177	16:12												XV/2																			
1526		42/128	4°	Pergament	345	15:12												XIV/1																			
1527		42/134	4°	Pergament	242	16:12														XIV/1	ab 89			Ende XIII	2-88									Benediktinerstift St. Lambrecht			
1528		39/38	4°	Pergament	301	16:11												XIV																Benediktinerstift St. Lambrecht			
1529		42/135	4°	Pergament	IV, 177	16:11												XIV/1																Benediktinerstift St. Lambrecht			
1530		39/43	4°	Pergament	114	17:12												XIV																Benediktinerstift St. Lambrecht			
1531		42/136	4°	Pergament	II, 193	16:12												XIII/2		XIV	ab 144																
1532		39/44	4°	Pergament	52	16:13												XIV																Zisterzienserstift Neuberg			
1533		42/133	4°	Pergament	244	16:12												XIV																			
1534		40/3	8°	Pergament	356	16:12												XIV/1						um 1300										Zisterzienserstift Rein (Reun)		Benediktinerstift Millstatt	
1535	1	38/2	8°	Papier		17:22												XVII																			
1535	2	38/2	8°	Papier		17:22												XVII																			
1535	3	38/2	8°	Papier		17:22												XVII																			
1535	4	38/2	8°	Papier		17:22												XVII																			
1535	5	38/2	8°	Papier		17:22												XVII																			
1535	6	38/2	8°	Papier		17:22												XVII																			
1536*		39/70	4°	Pergament														XIV																			
1537*		38/3	8°				1577																											Benediktinerstift St. Lambrecht			
1538		39/64	8°	Pergament	244	15:10												XIV						Ende XIII										Zisterzienserstift Neuberg			
1539		39/53	4°	Pergament	I, 128	16:12												XIV																			
1540		39/62	8°	Pergament	I, 170; I	16:11																		Anfang XIII		um 1300		ab 140v						Zisterzienserstift Neuberg			
1541		39/65	8°	Pergament	VII, 388	14:10																		um 1483	VII												
1542		34/19	8°	Papier	174	15:10				1626-1646								XVII/1																Benediktinerstift St. Lambrecht			s. Bd. 3!!!!
1543*		34/22	8°	Papier														XVIII																			
1544		34/18	8°	Papier	104	16:10	1720																														
1545		42/4	8°	Pergament	346	15:11												XII/2	1-94					um1300										Zisterzienserstift Neuberg			
1546*		42/3	8°															XVII																			
1547*		34/16	8°															XVIII																			
1548		39/57	4°	Pergament	482	15:11												XV																Chorherrenstift Seckau			
1549		40/6	8°	Pergament	212	15:11																		Anfang XIII										Chorherrenstift Seckau			
1550		40/7	8°	Pergament	241	15:11												XIII																Chorherrenstift Seckau			
1551*		38/8	8°	Papier	129	15:10												XVI																			woher? - Literatur
1552		40/9	8°	Pergament	178	15:11												XIV/2																Benediktinerstift St. Lambrecht			
1553		40/8	8°	Pergament	283	15:11												XIV/2																Benediktinerstift St. Lambrecht			
1554		33/4	8°	Pergament	525	15:10																		Ende XIV										Benediktinerstift St. Lambrecht			
1555*		33/10	8°															XIV																Kartause Seitz			
1556		33/5	8°	Pergament	387	15:11												XV																Chorherrenstift Seckau			
1557*		33/6	8°															XVIII																			
1558*		33/8	8°															XVI																			
1559		34/26	8°	Papier	233	15:11																		um 1440										Zisterzienserstift Neuberg			
1561*	1	34/15	8°															XVIII																			
1561*	2	34/15	8°															XVIII																			
1562*		34/48	8°															XVII																Zisterzienserstift Neuberg			
1563*		34/10	8°	Papier	II, 250	15:11												XV/2																Kartause Seitz			
1564*		33/11	8°															XVIII																			
1565		40/11	8°	Pergament, Papier	124	15:11	1391	92										XIV																Benediktinerstift St. Lambrecht			Pergament und ab Bl. 76 Papier 
1566		38/7	8°	Papier	291	15:11																		nach 1590	121v									Chorherrenstift Seckau			
1567		38/4	8°	Papier	308	15:11												XV/2																			
1568		38/9	8°	Papier	76	14:10	I514	74										XV/2																Benediktinerstift St. Lambrecht			
1569		33/9	8°	Pergament, Papier	161	15:11	1426	61v										XV 																Kartause Seitz			Papier u. einige Bl. Pergament 
1570		38/11	8°	Papier	95	15:11	1512	49																													
1571		38/12	8°	Papier	71	15:10	1616																											Chorherrenstift Seckau			
1572		38/13	8°	Papier	161	15:09	1618																														
1573		33/18	8°	Papier	128	15:10																		um 1600										Zisterzienserstift Neuberg			
1574		33/20	8°	Papier	128	16:19												XVI/2																			
1575		33/21	8°	Papier	51	15:10																		um 1700													
1576		33/17	8°	Papier	163	14:09												XVII/1																			
1577		40/13	8°	Pergament	298	15:11																		um 1300										Benediktinerstift St. Lambrecht			
1578		39/66	8°	Pergament 	290	15:11												XIV 																Zisterzienserstift Neuberg			
1579		42/15	8°	Papier 	157	16:10	1689																											Jesuitenkolleg Judenburg		Jesuitenkolleg Leoben	
1580		42/9	8°	Pergament 	114	15:11												XIII 	ab 36					Ende XII 	 3-35									Chorherrenstift Seckau			
1581		34/13	8°	Papier 	171	15:09												XVII																Kartause Seitz			
1582		41/1	8°	Papier	43	15:10	1658																														
1583		42/5	8°	Papier 	98	15:11																		nach 1600													
1584		42/6	8°	Pergament 	48	15:10																		um 1200										Chorherrenstift Seckau			
1585		 42/7 	8° 	Pergament	39	15:10												XII																Chorherrenstift Seckau			
1586		34/31	8° 	Papier	146	15:10	1644																											Jesuitenkollegium Graz			
1587		34/32	8° 	Papier 	262	14:10																		Ende XVI 													
1588		34/17	8°	Papier	164	15:11	1500	73			1504	23v		1506	26v																			Kartause Seitz			
1589		39/60	 8° 	Pergament 	210	15:10												XIV 																Benediktinerstift St. Lambrecht			
1590		42/8	 8° 	Pergament	209	14:10												XV																Chorherrenstift Seckau			
1591		34/9	8° 	Papier 	236	15:10	1572																											Chorherrenstift Seckau			
1592		41/104	 8° 	Pergament	123	15:10	1244	123v										XIV/1 		XII	72-75													Benediktinerstift St. Lambrecht			
1593		39/63	 8° 	Pergament 	320	14:11												XV																Dominikanerinnen in Mahrenberg			
1594		39/61	8°	Pergament	174	15:11												XIV 																Zisterzienserstift Neuberg			
1595		 39/71 	4° 	Pergament 	I, 134 	15:11																		Ende XIII 										Kartause Seitz			
1596		40/14	 8° 	Pergament 	175	15:10																		um 1300										Benediktinerstift St. Lambrecht			
1597	1	34/11	8° 	Papier 		15:10	1671																											Chorherrenstift Seckau			
1597	2	34/11	8° 	Papier 		15:10	1671																											Chorherrenstift Seckau			
1598		 34/29 	8° 	Papier	189	15:10																		um 1651										Zisterzienserstift Neuberg			
1599		34/27	8° 	Papier 	198	15:10	1661																											Jesuitenkollegium Graz			
1600		34/28	8° 	Papier 	II 92 																			nach 1720 	70v									Benediktinerstift St. Lambrecht			
1601		39/72	8°	Pergament	199	14:10												XIV																Kartause Seitz			
1602		39/67	8°	Pergament	248	14 : 10																		Anfang XV 										Kartause Seitz			Ortsangabe146v
1603		34/30	8°	Papier	94	14 : 10												XVII																			
1604		34/38	8°	Papier	70	14,5 : 9,5												XVII																Kartause Seitz			kern: 15:9
1605		34/39	8°	Papier	78	15 : 10	1502																											Chorherrenstift Seckau			
1606		34/40	8°	Papier	55	15 : 10												XV																Benediktinerstift St. Lambrecht			
1607		34/41	8°	Papier	71	14,5 : 9,5												XVII																Kartause Seitz			
1608		34/20	8°	Papier	V, 265	15 : 10												XVII/2																Jesuitenkollegium Graz			
1609		34/8	8°	Papier	469	14 : 11	1488	252			1451	423v																									
1610		39/54	4°	Pergament	I, 156, I	15 : 10												XIV/1																			
1611		40/10	8°	Pergament	86	18 : 10																		Mitte XII													
1612		34/45	8°	Papier	74	15 : 10																		um 1600										Kartause Gaming			
1613		34/49	4°	Papier	110	15 : 10																		nach 1571									Johann Jörg Berg				
1614		34/24	8°	Papier	95	15 : 10												XVII																			
1615		34/21	8°	Papier	I, 175	14 : 10																		um 1500										Benediktinerstift St. Lambrecht			
1616		34/14	8°	Papier	565	15 : 10												XVII																			
1617		34/12	8°	Papier	I, 257, I	14 : 11		87, 145v, 171		1460-1461 																								Benediktinerstift St. Lambrecht			
1618		33/12	8°	Papier	V, 76	15 : 10	1638	63																										Zisterzienserstift Neuberg			
1619		33/13	8°	Papier	87	15 : 10	1659																														
1620		33/1	8°	Pergament	II, 15	18 : 13																		um 1400										Clarissinenkloster in Judenburg			Es heißt Klarissen oder Klarissinnen
1621		38/6	8°	Pergament	361	13 : 10												XIV/2																			
1622		38/5	8°	Pergament	432	13 : 9												XIV		XV	1-13, 332-426																
1623		34/33	8°	Papier	II, 230	14 : 10	1521	85v																										Kartause Seitz			
1624		34/35	8°	Papier	147	14 : 9																		um 1600													
1625		34/36	8°	Papier	236	14 : 10												XVI/2																			
1626		34/37	8°	Papier	60	14 : 10	1725																														
1627		34/23	8°	Papier	322	14 : 10												XVII																			
1628		34/25	8°	Papier	285	13 : 9	1603																											Kartause Seitz			
1629		34/34	8°	Papier	450	13 : 10												XVII																			
1630		41/2	8°	Pergament	133	13 : 10																		um 1300										Zisterzienserstift Rein ?			
1631		42/17	8°	Pergament	206	14 : 10												XIV/2																			
1632		42/19	8°	Papier	114	14 : 10																		Ende XV										Kartause Seitz			
1633		42/16	8°	Pergament	63	13 : 8												XIII/1																Chorherrenstift Seckau			
1634		42/10	8°	Pergament	I, 101	13 : 10												XIII																Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1635		42/11	8°	Pergament	243	13 : 9												XIII/2																Zisterzienserstift Neuberg			
1636		42/12	8°	Papier	96	13 : 9	1671																											Kartause Aggsbach			
1637		42/13	8°	Pergament	199	13 : 9												XV																			
1638		42/14	8°	Pergament	157	13 : 10																		um 1300													
1639		42/18	8°	Pergament	214	14 : 9																		um 1300										Zisterzienserstift Neuberg			
1640		42/21	8°	Papier	104	14 : 9	1634																											Zisterzienserstift Neuberg			
1641		 38/10	8°	Papier	101	13 : 10																		um 1500										Benediktinerstift St. Lambrecht			
1642		33/14	8°	Papier	125	13 : 7												XVII/1																			
1643		33/15	8°	Papier	138	13 : 8	1746																														s. Ms 1022
1644		33/19	8°	Papier	V, 159	13 : 7	1627																											Kartause Gaming			
1645		40/12	8°	Pergament	169	14 : 10												XIII/1																Chorherrenstift Seckau			
1646		39/73	8°	Pergament	200	13 : 9												XIII/1																Chorherrenstift Seckau			
1647		42/23	8°	Papier	115	14 : 8												XVIII																			
1648		41/3	8°	Pergament	158	12 : 8	1432																											Zisterzienserstift Neuberg			
1649		34/42	8°	Papier, Pergament	396	11 : 7	1498	35v			1498	45v		1498	216v	1499	335																	Kartause Seitz			
1650		41/4	8°	Pergament	130	12 : 9												XV/1																Kartause Mauerbach			
1651		39/74	8°	Pergament	271	11 : 9												XV																Chorherrenstift Seckau			
1652		38/14 	8°	Pergament	170	11 : 7												XV/2																Benediktinerstift St. Lambrecht ?			
1653		39/75	4°	Pergament	312	11 : 8												XV																			
1654		39/78	4°	Pergament	170	11 : 9												XV																Benediktinerstift St. Lambrecht			
1655		42/22	8°	Pergament	203	10 : 8												XIV/2																			
1656		39/77	4°	Pergament	310	 10 : 7												XV/2																Chorherrenstift Seckau			
1657		39/76	4°	Pergament, Papier	711	10 : 8												XV						Ende XIV													Nachträge XV
1658		42/20	8°	Pergament	530	10 : 7												XIV																Zisterzienserstift Neuberg			
1659		42/22	8°	Papier	293	10 : 7	1687																														
1660				Papier	II, 248	9,5 : 7																		um 1600													Kern 10 : 7
1661		34/44	8°	Papier	I + 111	9,7 : 6,8												XVII						vor 1688										Kartause Seitz			as. Ms 1659
1662		33/23	8°	Papier	132 	9,5 : 7,2												XVII																			as. Ms 1659
1663		33/23	8°	Papier	321	8,6 : 7												XVII																			as. Ms 1659
1664		33/24	8°	Papier	III + 91	7,8 : 5												XVII						nach 1644										Kartause Seitz			Kern 9 : 6
1665		33/22	8°	Papier	68	25 : 17												XIX/2																			
1666				Papier	13	37 : 22												XIX																			
1667				Papier	48	35 : 22																		nach 1735													
1668				Papier	177, 17	36 : 23	1862																														17 eingeklebte Blättchen
1669				Papier	43	34 : 21	1856																														
1670				Papier	296	31 : 18												XVII/2																			
1671				Papier	14	41 : 28	1810				1837			1842																							
1672				Papier	154	22 : 18												XVIII																			
1673				Papier	50	23 : 19																		ca. 1790													
1674				Papier	58	22 : 17																		ca. 1790													
1675		39/76	4°	Papier	44	22 : 17																		ca. 1790													
1676				Papier	130	20 : 16	1826																	Ende XVIII													Nachträge 1826
1678				Papier	64	27 : 20																		um 1800													
1679				Papier	29	34 : 21																		nach 1877													
1680				Papier	192	19 : 15	1620																														
1681				Papier	187	19 : 15	1722																														
1682				Papier	26	24 : 20																		ca. 1830													
1683				Papier	176	20 : 11																		nach 1820													s. Ms 1687
1684				Papier	601	23 : 18																		Mitte XVIII													
1686				Papier	33	25 : 19																		Mitte XIX													
1687	1		4°	Papier																				um 1820													
1687	2		4°	Papier																				um 1820													
1687	3		4°	Papier																				um 1820													
1687	4		4°	Papier																				um 1820													
1687	5		4°	Papier																				um 1820													
1687	6		4°	Papier																				um 1820													
1688				Papier	22	36 : 23	1817																														
1689				Papier	66	37 : 21	1834																														
1690	1			Papier																				Mitte XIX													
1690	2			Papier																				Mitte XIX													
1690	3			Papier																				Mitte XIX													
1690	4			Papier																				Mitte XIX													
1690	5			Papier																				Mitte XIX													
1690	6			Papier																				Mitte XIX													
1690	7			Papier																				Mitte XIX													
1690	8			Papier																				Mitte XIX													
1691				Papier	157	20 : 13																		um 1817													s. Ms. 1687
1692				Papier	160	20 : 12																		um 1815									Franz Jakob Frisch				s. Ms. 1687
1693	1			Papier	254	22 : 17																		ca. 1730													
1693	2			Papier	158	22 : 17																		ca. 1730													
1694				Papier						1763-1822																											196 Hefte in 5 Schubern
1695				Papier	129	16 : 10												XIX																			
1698				Papier	24	22 : 14	1830																														
1699				Papier	117	22 : 16	1731																										Samuel Helfer				
1700				Papier	277	25 : 19												XVIII																			
1701				Papier	93	22 : 15	1787																														
1707				Palmblätter	94	3 : 74																															
1708	1			Papier	142	21 : 17												XIX																			
1708	2			Papier	11	20 : 14												XIX																			
1708	3			Papier	154	19 : 11												XIX																			
1709				Papier	85	19 : 16												XVI/2															Johann Jakob von Stainach				
1711				Papier	414	28 : 20				1850-1860																											in 44 losen Lagen
1712				Papier	306	21 : 14												XVII																			
1713				Papier	257	21 : 14												XVII																Neuhäusl, Oberungarn (Nove Zamky, Slowakei), fromme Stiftung			
1714				Papier	212	20 : 14																		nach 1648													
1715				Papier	90	21 : 14												XVI																			
1716				Papier	335	21 : 15												XVII																			
1717				Papier	38	20 : 12												XIX																			
1718				Papier	224	20 : 15																															
1719				Papier	269	15 : 10	1682																														
1722				Papier	79	12 : 8												XVIII																			
1723				Papier	130	20 : 13												XVIII																Jesuitenkolleg Judenburg			Kern: Grazer Jesuiten?
1724				Papier	174	15 : 11												XVII/1																Jesuitenkolleg Judenburg			
1725				Papier	12	18,5 : 14												XVI																Benediktinerstift St. Lambrecht			
1726				Papier	147	24 : 14	1812																														
1730				Papier	314	33 : 22												XVIII																			
1741				Papier	157	19,5 : 12												XVIII																			Katalogisat Zotter
1748				Papier	304	28 : 19																		vor 1470													
1767				Papier	33	23 : 30	1829																														
1779				Papier	14	32 : 25																		um 1860													
1780				Papier	1	64 : 53												XIX																			
1781				Papier	1	65 : 53												XIX																			
