Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
260	2	36/70	f° 	Papier	312	29 : 22												XV/1																Benediktinerstift St. Lambrecht			
261	1	35/45	f° 	Papier	420	30 : 22																		Nach 1433										Benediktinerstift St. Lambrecht			Ms 261a (s. Hs. 260)
261	2	36/22	f° 	Papier	402	31 : 21	1442	400v																										Benediktinerstift St. Lambrecht			Ms 261b (s. Hs. 260)
262		38/59	f° 	Papier	334	29 : 21	1468	332																										Kartause Seitz			
263		38/60	f° 	Papier	298	29 : 21	1452	263																										Zisterzienserstift Neuberg			
264		38/47	f° 	Pergament	108	28 : 20												XV																			
265		41/40	4°	Pergament	201	28 : 21												XIV																Benediktinerstift St. Lambrecht			
266		41/49	4°	Pergament	I, 128	29 : 21												XIV																			
267		41/50	4°	Pergament	I, 202	29 : 21												XIV/1																Benediktinerstift St. Lambrecht			
268		35/78	f° 	Papier	86	29 : 21												XIV/2																Benediktinerstift St. Lambrecht			
269		37/33	f° 	Pergament	312	28 : 21																		um 1300													
270		39/19	f° 	Pergament	I, 232	29 : 20												XII/2																Benediktinerstift St. Lambrecht			
271		35/67	f° 	Papier	245	29 : 21																		Anfang XV										Zisterzienserstift Neuberg			
272		39/1	f° 	Pergament	I, 186	29 : 20												XIII															Otto Tardus	Chorherrenstift Seckau			
273		39/3	f° 	Pergament	247	28 : 19																		um 1300										Kartause Seitz			
274		39/6	f° 	Pergament	201	29 : 20												XIII															Otto Tardus	Chorherrenstift Seckau			
275		35/62	f° 	Papier	247	29 : 21	1440	178																										Benediktinerstift St. Lambrecht			
276		39/10	f° 	Pergament	98	28 : 19												XII																Chorherrenstift Seckau			
277		39/12	f° 	Pergament	257	29 : 20																		um 1300										Chorherrenstift Seckau			
278		39/13	f° 	Pergament	I, 155	29 : 18												XII																Chorherrenstift Seckau			
279		39/16	f° 	Pergament	115, I	28 : 19												XII																Chorherrenstift Seckau			
280		39/15	f° 	Pergament	99	28 : 19												XII																Chorherrenstift Seckau			
281		39/63	f° 	Pergament	455	28 : 20												XIII	1-76, 109-111, 116-246, 448-454	XIV/2	77-108, 112-115, 247-447													Chorherrenstift Seckau			
282		42/52	f° 	Pergament	211	28 : 19												XII																Chorherrenstift Seckau			
283		33/50	f° 	Papier	V, 212	27 : 39																		Ende XVII										Chorherrenstift Seckau			
284		33/51	f° 	Papier	V, 314	??																		Ende XVII										Chorhorrenstift Seckau			
285		38/55	f° 	Pergament	223	26 : 19																		um 1300										Chorherrenstift Seckau			
286		39/18	f° 	Pergament	310	28 : 19												XII	1-192	XV	193-310													Chorherrenstift Seckau			Bl. 193f. Provenienz/Bibliothekfonds ist Seckau; Herkunft benediktinisch OÖ?
287		39/17	f° 	Pergament	250	27 : 19												XIII/1						um 1400	13-84									Chorherrenstift Seckau			
288		38/54	f° 	Pergament	142	27 : 19												XIV																Zisterzienserstift Neuberg			
289		38/53	f° 	Papier	187	28 : 20	1441	150																										Chorherrenstift Seckau			
290		39/23	f° 	Pergament	227	28 : 19												XIV	1-113	XII	118-227													Benediktinerstift St. Lambrecht			Was ist 114-118??
291		39/22	f° 	Pergament	I, 289, I	28 : 18												XII																Benediktinerstift St. Lambrecht			
292		39/2	f° 	Pergament	I, 135	28 : 19																		Anfang XIII										Chorherrenstift Seckau			
293		39/4	f° 	Pergament	I, 153	28 : 19												XII/2																Chorherrenstift Seckau			
294		39/14	f° 	Pergament	I, 238	27 : 18												XIII																Benediktinerstift St. Lambrecht			
295		39/7	f° 	Pergament	100	28 : 19																		um 1300													
296		39/11	f° 	Pergament	I, 74	25 : 17												XV/2																			
297		39/9	f° 	Pergament	115	28 : 18												XII/1																Benediktinerstift St. Lambrecht			
298		39/8	f° 	Pergament	130	28 : 19												XIV/1															Ulricus Haller	Zisterzienserstift Neuberg			
299		37/34	f° 	Pergament	314	28 : 19												XV/1																Benediktinerstift St. Lambrecht			
300		35/81	f° 	Papier	173	27: 20												XIV																Kartause Seitz			
301		35/82	f°	Papier	I, 190, I	28 x 20												XV																Zisterzienserstift Neuberg			
302		33/13	f°	Papier	283	29 x 20		 232, 259v, 280, 283v		1384-1385																								Chorherrenstift Seckau			
303		33/16	f°	Papier	417	30 x 20																		um 1420									Nicolaus Los de Hoffis	Benediktinerstift St. Lambrecht			
304		35/83	f°	Papier	II, 224	28 x 20	1458	129			1459	220v																						Chorherrenstift Seckau			
305		39/5	f°	Pergament	74	30 x 22												XIV																Chorherrenstift Seckau			
306		38/39	f°	Papier	193	29 x 21																		Ende XIV 										Kartause Seitz			
307		35/77	f°	Papier	106	29 x 21	1391	83v																Mitte XIV	ab 85									Benediktinerstift St. Lambrecht			
308		33/32	f°	Papier	221	29 x 19												XVII																			
309		33/33	f°	Papier, Pergament	I, 136	29 x 21												XIV																Chorherrenstift Seckau			Das 1. und 6. Bl. jedes Sesternio Pergament
310		33/34	f°	Papier	301	28 x 20	1446	36																										Chorherrenstift Vorau		Chorherrenstift Seckau	
311		33/35	f°	Papier	II, 109	27 x 20												XV/2						nach 1453										Benediktinerstift St. Lambrecht			
312		36/75	f°	Papier	234	28 x 20	1418	176-211																um 1400										Chorherrenstift Seckau			
313		42/50	f°	Pergament	182	26 x 18												XII																Benediktinerstift St. Lambrecht			
314		36/63	f°	Papier	120	27 x 21	1415	23v										XV/1																Chorherrenstift Seckau			
315		36/82	f°	Papier	II, 278	28 x 20	1459	88v 			1459	252v																						Chorherrenstift Seckau			
316		36/83	f°	Papier	I, 227	28 x 20	1424	227v			1427	56						XV/1																Chorherrenstift Seckau			
317		36/84	f°	Papier	I, 213	28 x 21												XV/1						1422/3	19, 154									Chorherrenstift Seckau			
318		35/22	f°	Papier	I, 227	28 x 20												XV																Chorherrenstift Seckau			
319		36/16	f°	Papier	210	28 x 21												XIV/2																Benediktinerstift St. Lambrecht			
320		36/17	f°	Papier	III, 160	28 x 20												XV						Nach 1437	125									Chorherrenstift Seckau			
321		36/18	f°	Papier	II, 156	28 x 20	1479	49										XV																Chorherrenstift Seckau			
322		35/41	f°	Papier	III, 231	28 x 20												XV/1																Chorherrenstift Seckau			
323		34/32	f°	Papier	143	29 x 11	1476	127			1476	141																									
324		33/52	f°	Papier	200	30 x 39												XVIII/1																			
325		42/57	f°	Pergament	137	30 x 21												XII																Benediktinerstift St. Lambrecht			
326		38/38	f°	Pergament	109	30 x 21												XII/2																Benediktinerstift St. Lambrecht			
327		41/32	f°	Pergament	82	31 x 21												XII																Zisterzienserstift Neuberg			
328		42/66	f°	Papier	219	29 x 22																		Erstes Viertel  XV 									Heinrich von Lobenstein	Benediktinerstift St. Lambrecht			
329		41/42	4°	Pergament	182	28 x 19												XIV																Benediktinerstift St. Lambrecht			
330		41/41	4°	Pergament	179	29 x 19												XIII																Dominikanerkloster Pettau ?			
331		41/46	f°	Pergament	I, 94	29 x 20												XIII																Zisterzienserstift Neuberg			
332		35/79	f°	Papier	115	29 x 22	1468	10v			1469	111																									
333		35/80	f°	Papier	114	30 x 20												XV/1																Zisterzienserstift Neuberg			
334		36/74	f°	Papier	327	28 x 20	1391	111v																Ende XIV													
335		35/84	f°	Papier	214	28 x 21	1350	205																										Zisterzienserstift Neuberg			
336		35/85	f°	Papier	I, 250	27 x 20	1444	250																										Kartause Seitz			
337		36/60	f°	Papier	203	28 x 21												XV																			
338		36/61	f°	Papier	237	28 x 21	1395	165																um 1400										Chorherrenstift Seckau			
339		36/66	f°	Papier	II, 261, II	27 x 20												XIV/2																Benediktinerstift St. Lambrecht			
340		37/41	f°	Papier	446	29 x 22												XV																Chorherrenstift Seckau			
341		36/62	f°	Papier	163	29 x 21	1396	80																um 1400										Benediktinerstift St. Lambrecht			
342		40/65	f°	Pergament	282	28 x 20	1310	281v																									Wilhelm, Propst in Friesach	Benediktinerstift St. Lambrecht	Franz Emerich in Wien		
343		37/46	f°	Papier	265	29 x 21												XV/2																Benediktinerstift St. Lambrecht			
344		41/45	f°	Pergament	175	30 x 21												XIV																Dominikanerkloster Pettau ?			
345		41/44	f°	Pergament	150	30 x 20												XIII																Zisterzienserstift Neuberg			
346		41/43	f°	Pergament	I, 141	30 x 20												XIII/2															Johannes Waltpod von Heiligenstadt	Chorherrenstift Seckau			
347		34/35	f°	Papier	139	29 x 21	1426	81v			1440	96v						XV/1																Dominikanerkloster Pettau			
348		34/33	f°	Papier	243	28 x 21												XIV/2		XV	ab 49												Mag. Leonhard von Hallstatt	Zisterzienserstift Neuberg			
349		34/34	f°	Papier	V, 206	29 x 22																		um 1400										Benediktinerstift St. Lambrecht			
350		42/64	f°	Pergament	166	28 x 20												XII/2																Benediktinerstift St. Lambrecht			
351		41/43	f°	Pergament	198	32 : 20												XII															Gottschalk von Diernstein	Chorherrenstift Seckau			
352		40/71	f°	Pergament	116	28 : 21												XIV																Chorherrenstift Seckau			
353		42/36	f°	Papier	186	29 : 21	1429	158	 95-186															Ende XIV										Chorherrenstift Seckau			
354		34/21	f°	Papier	284	29 : 21												XV/2																St. Georgs-Ritterorden Millstatt			
355		42/43	f°	Papier	227	29 : 20	1393	213																										Chorherrenstift Seckau			
356		42/47	f°	Papier	IV, 359	29 : 22																		Mitte XV										Benediktinerstift St. Lambrecht ?			
357		42/68	f°	Papier	II, 137, I	30 : 21												XV/2																			
358		42/67	f°	Papier	I, 156	30 : 21												XV/1																Benediktinerstift St. Lambrecht			
359		42/39 	f°	Papier	63	29 : 20												XIV/2																			
360		40/72	f°	Pergament	149	29 : 21												XIII/1																			
361		34/31	f°	Papier	82	29 : 22												XIV/2																Zisterzienserstift Neuberg			
362		40/40	f°	Pergament	162	39 : 24												XIII/2																Jesuitenkollegium Graz			
363		40/39	f°	Pergament	201	37 : 23												XIII/2																Benediktinerstift St. Lambrecht			
364		39/26	f°	Pergament	460	35 : 25												XV/1																Benediktinerstift St. Lambrecht			
365		40/36	f°	Pergament	275	37 : 26												XIV																Benediktinerstift St. Lambrecht			
366	1	34/40	f°	Papier	177	37 : 24												XVIII/2															Anton Josef Edler von Hohenrain				
366	2	34/40	f°	Papier	198	37 : 24												XVIII/2															Anton Josef Edler von Hohenrain				
367	1			Papier	III, 238	34 : 22																		um 1800										Bibliothek der medizinisch-chirurgischen Lehranstalt in Graz			
367	2			Papier	I, 159	34 : 22																		um 1800										Bibliothek der medizinisch-chirurgischen Lehranstalt in Graz			
368		39/17	f°	Pergament	I, 332	36 : 25												XIII/2																Benediktinerstift St. Lambrecht			
369		39/13	f°	Pergament	I, 151	35 : 25												XII																Benediktinerstift St. Lambrecht			
370		39/24	f°	Pergament	288	35 : 25												XIV						vor 1324										Zisterzienserstift Neuberg ?			
371		33/104 	f°	Papier	254	 35 : 22	1762																										Josef Anton Edler von Hohenrain				
372		39/35	f°	Pergament	127	36 : 25												XIV/1																Benediktinerstift St. Lambrecht			
373		40/41	f°	Pergament	209	35 : 25												XII																Benediktinerstift St. Lambrecht			
374		41/52	f°	Pergament	354	34 : 21																		Ende XIII										Benediktinerstift St. Lambrecht			
375		38/31	f°	Pergament	164	34 : 25				1451-1454																								Kartause Gairach			
376		37/26	f°	Pergament	I, 220, IV	 34 : 24												XV/2																Kartause Seitz			
377		40/37	f°	Pergament	I, 269	36 : 25												XIV/1																Benediktinerstift St. Lambrecht			
378		39/54	f°	Pergament	239	35 : 25												XIV																			
379		41/14	f°	Pergament	319	34 : 22																		um 1300										Dominikanerkloster Pettau			unlesbarer Randkommentar Mairold!, Neuberg?
380		41/22	f°	Pergament	219	33 : 23												XII																Benediktinerstift St. Lambrecht			
381		40/15	f°	Pergament	83	34 : 22																		Anfang XIV										Dominikanerkloster Pettau			
382		40/30	f°	Pergament	176	34 : 25																		um 1400										Benediktinerstift St. Lambrecht			
383		41/13	f°	Pergament	150	34 : 25												XII/2																Chorherrenstift Seckau			
384	a	41/35	f°	Pergament	201	34 : 24												XII/2																Chorherrenstift Seckau			ev. Neue Handschriftensignatur, die beiden Bände gehören nicht zusammen!
384	b	41/35	f°	Pergament	164	34 : 22												XII																Benediktinerstift St. Lambrecht			
385		41/24	f°	Pergament	281	33 : 23												XV																Benediktinerstift St. Lambrecht			
386		40/28	f°	Pergament	I, 221	33 : 25																		um 1400										Benediktinerstift St. Lambrecht			
387		41/40	f°	Pergament	280	32 : 24	1466	280v										XIV/2																Benediktinerstift St. Lambrecht			
388		33/14	f°	Papier	V, 90	35 : 24												XVI																			
389		33/49	f°	Papier	145	34 : 22	1759																														
390		39/29	f°	Pergament	181	32 : 25																		Mitte XIV										Chorherrenstift Seckau			
391		40/44	f°	Pergament	78	33 : 24												XV/1																Benediktinerstift St. Lambrecht			
392		37/27	f°	Pergament	261	33 : 24												XV/1																Chorherrenstift Seckau			
393		39/33	f°	Pergament	351	33 : 25	1358	349v																										Benediktinerstift St. Lambrecht			
394		39/32	f°	Pergament	250	34 : 25	1423	78			1423	250v																						Benediktinerstift Millstatt		Jesuitenkollegium Graz	
395		40/42	f°	Papier, Pergament	623	33 : 23	1336	623v																										Benediktinerstift St. Lambrecht			Bl. 1-6 Papier
396		39/55	f°	Pergament	79	34 : 25																		um 1400										Benediktinerstift St. Lambrecht			
397	1	39/31	f°	Pergament	184	33 : 24												XII																Chorherrenstift Seckau			
397	2	40/31	f°	Pergament	182	33 : 24												XII																Chorherrenstift Seckau			
398		39/34	f°	Pergament	244	33 : 24												XII																Chorherrenstift Seckau			
399		39/37	f°	Pergament	82	34 : 23												XIV																Jesuitenkollegium Graz			
400		39/36	f°	Pergament	161	33 : 26	1359	161																													
401		39/30	f°	Pergament	261	 33 : 23												XII																Benediktinerstift St. Lambrecht			
402		34/18	f°	Papier	II, 75, III, 1 	33 : 22																		nach 1755													
403		41/29	f°	Pergament	303	34 : 24												XIII																Benediktinerstift St. Lambrecht			
404		40/45	f°	Pergament	207	33 : 23												XII																Benediktinerstift St. Lambrecht			
405				Papier	352	31 : 22												XV															Hartmann von Eppingen				
406	1	39/51	f°	Pergament	I, 177	33 : 23												XI/2																Benediktinerstift St. Lambrecht			
406	2	41/42	f°	Pergament	143	33 : 23												XI/2																Benediktinerstift St. Lambrecht			
407		33/3	f°	Papier	II, 564	32 : 20	1712																											Chorherrenstift Seckau			
408		41/41	f°	Pergament	377	33 : 23																		um 800										Chorherrenstift Seckau	 		
409		39/10	f°	Pergament	274	34 : 25												XII																Benediktinerstift St. Lambrecht			
410		39/40	f°	Papier	159	32 : 22												XV																			
411		39/41	f°	Pergament	151	32 : 22																		um 1200										Benediktinerstift St. Lambrecht			
412		41/47	f°	Pergament	248	31 : 20												IX/1		XIII	116, 123, 217-248													Benediktinerstift St. Lambrecht			
413		37/28	f°	Pergament	449	33 : 23												XIV																Benediktinerstift St. Lambrecht			
414		40/43	f°	Pergament	413	31 : 22												XIII/2																Chorherrenstift Seckau			Forts. Ist Hs. Admont 170
415		40/49	f°	Pergament	163	31 : 22												XV/2															Wolfgang Jöchlinger	Jesuitenkollegium Graz			
416		33/5	f°	Papier	476	32 : 21												XVIII																Benediktinerstift St. Lambrecht			
417		37/30	f°	Pergament	265	31 : 22												XII/2															Priester Wernher	Chorherrenstift Seckau			
418		39/38	f°	Pergament	I, 169	32 : 23												XIV/1																Benediktinerstift St. Lambrecht			
419		39/44	f°	Pergament	204	31 : 22																		Ende XIII									Johannes Gretzer	Benediktinerstift St. Lambrecht			
420		40/46	f°	Pergament	271	33 : 24												XV																Dominikanerkloster Pettau			
421		39/53	f°	Pergament	142	33 : 23												XIV/2																Zisterzienserstift Neuberg			
422		39/59	f°	Pergament	150	32 : 23																		Ende XIII										Benediktinerstift St. Lambrecht			
423		39/61	f°	Pergament	II, 181	33 : 23												XIII/2																Dominikanerkloster Pettau			
424		37/38	f°	Papier	I, 28	31 : 25												XVIII																Zisterzienserstift Neuberg?			
425	1	34/7	f°	Papier	273	30 : 21												XV/1																Chorherrenstift Seckau			
425	2	34/7	f°	Papier	350	30 : 21												XV/1																Chorherrenstift Seckau			
425	3	34/7	f°	Papier	356	30 : 21	1406	355v 																										Chorherrenstift Seckau			
426		34/5	f°	Papier, Pergament	253	31 : 21												XV																			
427		42/62	f°	Pergament	161	32 : 22												XIII/1																Chorherrenstift Seckau			
428		34/4	f°	Papier	I, 219	32 : 21												XVIII															Rudolf von Steitz				
429		34/10	f°	Papier	145	31 : 21												XV																Zisterzienserstift Neuberg			
430		34/9	f°	Papier	352	31 : 20												XVII																			
431		33/45	f°	Papier	II, 528	31 : 20												XVI						nach 1578													
432		33/71	f°	Papier	IV, 268	31 : 20												XVI						nach 1578													
433		42/63	f°	Pergament	I, 189	31 : 22												XII/2																Benediktinerstift St. Lambrecht			
434		34/6	f°	Papier	109	31 : 20	1725	108v																													
435		39/52	f°	Pergament	164	32 : 21																		Ende XII										Chorherrenstift Seckau			
436		39/50	f°	Pergament	140	33 : 23																		um 1200										Aegidius-Kirche		Jesuitenkollegium Graz	
437		39/48	f°	Pergament	I, 213, I	32 : 22												XIV																Chorherrenstift Seckau			
438		39/49	f°	Pergament	168	32 : 22																		um 1200										Benediktinerstift St. Lambrecht			
439		39/56	f°	Pergament	200	32 : 21												XIII																Chorherrenstift Seckau			
440		39/46	f°	Pergament	I, 218	31 : 23												XIV/1																Zisterzienserstift Neuberg			
441		34/8	f°	Papier	273	31 : 21												XV/2															Leonhard Geller 	Benediktinerstift St. Lambrecht	Andreas Grasser		
442		37/32	f°	Pergament	264	29 : 20	1331	264v																										Chorherrenstift Seckau			
443	1	34/13	f°	Papier	252	31 : 21	1401	104v																										Benediktinerstift St. Lambrecht			
443	2	34/13	f°	Papier	I, 275	31 : 21												XV/1																Benediktinerstift St. Lambrecht			
444		37/31	f°	Pergament	257	31 : 21												XII																Chorherrenstift Seckau			
445		34/11	f°	Papier	I, 352	30 : 21																		Ende XIV									Ulrich von Albeck	Chorherrenstift Seckau			
446	1	37/44	f°	Papier	291	30 : 22												XV/1																Benediktinerstift St. Lambrecht			
446	2	38/45	f°	Papier	378	30 : 22												XV/1																Benediktinerstift St. Lambrecht			
447		37/36	f°	Pergament	237	29 : 21																		Mitte XIV										Zisterzienserstift Neuberg			
448		33/99	f°	Papier	190	33 : 22												XVIII																			
449		33/106	f°	Papier	294	32 : 20																		um 1620													
450		42/20	f°	Papier	I, 448	31 : 21												XV/1																Zisterzienserstift Neuberg			
451		42/60	f°	Pergament	150	31 : 21												XIV																Dominikanerkloster Pettau			
452		42/58	f°	Pergament	I, 153	32 : 20												XIII																			
453		42/61	f°	Pergament	105	30 : 20																		Anfang XIII													
454		42/59	f°	Pergament	216	30 : 21												XII																Benediktinerstift St. Lambrecht			
455		39/45	f°	Pergament	178	31 : 24																		um 1300										Zisterzienserstift Neuberg			
456		38/42	f°	Pergament	413	31 : 23																		Anfang XIV										Chorherrenstift Seckau			
457		41/28	f°	Pergament	I, 62, I	31 : 23												XIV																Benediktinerstift Millstatt		Jesuitenkollegium Graz	
458		42/34	f°	Papier	324	31 : 19																		Ende XVII													
459		38/50	f°	Pergament	133	29 : 22												XV																			
460		33/47	f°	Papier	VII, 349	31 : 19	1617																														
461		33/7	f°	Papier	I, 355	31 : 20												XVII																			
462		33/29	f°	Papier	156	31 : 20																		Anfang XVII													
463		33/43	f°	Papier	I, 471	30 : 20												XVII/2																			
464		33/42	f°	Papier	II, 135	31 : 19	1677																														4 Kupferstiche
465		42/31	f°	Papier	401	30 : 21																		Anfang XV									Heinrich von Lobenstein	Benediktinerstift St. Lambrecht			
466				Papier	318	29 : 21																		Anfang XVII													
467		33/103	f°	Papier	99	31 : 20																		um 1700										Dominikanerkloster Pettau			
468		42/45	f°	Papier	122	31 : 21	1400	120v																										Benediktinerstift St. Lambrecht			
469		39/62	f°	Pergament	294	30 : 21	1320	293v																										Chorherrenstift Seckau			
470		39/58	f°	Pergament	145, I	29 : 22	1415	122																										Chorherrenstift Seckau			
471		39/60	f°	Pergament	454	29 : 21																		Anfang XIV		Ende XIV	9-28							Chorherrenstift Seckau			
472		38/44	f°	Pergament	160	31 : 21												XV/2																			
473		39/57	f°	Pergament	157, I	30 : 22												XIII																			
474		39/42	f°	Pergament	347	31 : 22																		Ende XIII										Chorherrenstift Seckau			
475		39/43	f°	Pergament	138	30 : 22																		Mitte XIV										Dominikanerkloster Pettau			
476		33/4	f°	Papier	396	31 : 21												XV/2																Jesuitenkollegium Graz			
477		33/6	f°	Papier	565	30 : 21												XVI/2																			
478		39/39	f°	Pergament	133	31 : 23												XIV																			
479		37/29	f°	Pergament	342	31 : 21												XII/2																Chorherrenstift Seckau			
480		39/47	f°	Pergament	I, 111	31 : 21												XII																Jesuitenkollegium Graz			
481		40/58	f°	Pergament	141	30 : 22												XIV																Chorherrenstift Seckau			
482		40/51	f°	Pergament	242	29 : 21																		um 1300										Benediktinerstift St. Lambrecht			
483		38/57	f°	Papier	70	30 : 22																		um 1500													
484		33/57	f°	Papier	351	33 : 20				1784-1827																								Witwenkasse der Grazer Wundärzte			
485	1	33/66	f°	Papier	580	33 : 21	1617																														
485	2	33/66	f°	Papier	759	33 : 21	1617																														
486		33/73	f°	Papier	179	32 : 21				1589-1684																								Grazer Ferdinandeum			
487		33/76	f°	Papier	III, 108	33 : 21	1733																														
488		33/68	f°	Papier	86	32 : 21	1756																											Benediktinerstift St. Lambrecht			
489		33/8	f°	Papier	43	32 : 19																		vor 1670													
490		33/75	f°	Papier	226	32 : 22												XVIII																			
491		35/4	f°	Papier, Pergament	379	31 : 22	1429	368v																													
492		36/19	f°	Papier	II, 281	31 : 22												XV/1																Benediktinerstift St. Lambrecht			
493		36/20	f°	Papier	250	31 : 22												XV																Zisterzienserstift Neuberg			
494		36/21	f°	Papier	I, 286	32 : 22												XV																Chorherrenstift Seckau			
495		35/3	f°	Papier	302	31 : 21	1422	274v																													
496		35/7	f°	Papier	233, I	30 : 21	1397	233v																										Zisterzienserstift Neuberg			
497		35/2	f°	Papier	358	31 : 22																		Mitte XV										Zisterzienserstift Neuberg			
498		33/58	f°	Papier	588	31 : 21												XVII																			
499		33/82	f°	Papier	II, 98	31 : 21												XVII/2																			
500				Papier	233	30 : 21												XV															Hartmann von Eppingen				
501		33/86	f°	Papier	77, 10	31 : 20																		um 1600													
502		33/87	f°	Papier	178	31 : 21	1584	2v																													
503		33/69	f°	Papier	III, 1229	31 : 20																		nach 1626													
504		33/67	f°	Papier	I, 20, I	31 : 21												XVII																			
505		33/66	f°	Papier	489	31 : 20	1714	1v																										Superiorat Mariazell			
506		36/5	f°	Papier	226	31 : 21												XV/1																Benediktinerstift St. Lambrecht			
507		36/25	f°	Papier	227	30 : 21												XV/1																Benediktinerstift St. Lambrecht			
508		36/29	f°	Papier	170	31 : 21												XV/1																Benediktinerstift Millstadt		Jesuitenkollegium Graz	
509		36/38	f°	Papier	141	31 : 22																		Anfang XV										Zisterzienserstift Neuberg			
510		33/74	f°	Papier	59	31 : 21												XVII																			
511		33/70	f°	Papier	III, 19, 1 	29 : 20												XVII																			
512		33/72	f°	Papier	III, 35	32 : 21																		Ende XVI										Kartause Gaming			
513		33/65	f°	Papier	III, 254	31 : 20												XVIII																			
514		33/63	f°	Papier	121	31 : 21																		um 1658													
515		33/59	f°	Papier	156	31 : 19	1577																											Hofbibliothek Graz?			
516				Papier	12	31 : 21												XVI																			
517		33/61	f°	Papier	I, 237	32 : 20																		Ende XVII													
518				Papier	443	31 : 21																		Ende XVII													
519		42/21	f°	Papier	230	31 : 21												XV																Zisterzienserstift Neuberg			
520		42/18	f°	Papier	272	32 : 21																		Ende XVI													
521		39/64	f°	Pergament	183	31 : 18												XIII																Chorherrenstift Seckau			
522		42/11	f°	Papier	I, 337	30 : 22												XV/1															Heinrich von Lobenstein 	Benediktinerstift St. Lambrecht		Benediktinerstift St. Lambrecht	
523		36/52	f°	Papier	234	31 : 21	1412	164r			1417	234v																						Zisterzienserstift Neuberg			
524		36/47	f°	Papier	270	31 : 21	1412	70v																										Zisterzienserstift Neuberg			
525		35/29	f°	Papier	329	31 : 21												XV/1																			
526		34/14	f°	Papier	I, 196	31 : 22												XV/1																Benediktinerstift St. Lambrecht			
527		36/85	f°	Papier	262	30 : 21	1428	7			1418	214v		1418	262																			Chorherrenstift Seckau			
528		35/10	f°	Papier	I, 159, I	31 : 21												XV/1															Magister Arnold de Lo				
529	1	33/17	f°	Papier	219	30 : 21												XV/1																Benediktinerstift St. Lambrecht			
529	2	33/17	f°	Papier	383	30 : 21	1440	381r																										Benediktinerstift St. Lambrecht			
530		41/47	4°	Pergament	I, 96	31 : 21																		um 1400										Benediktinerstift St. Lambrecht			
531		35/11	f°	Papier	I, 111, I 	31 : 21																		um 1400										Benediktinerstift St. Lambrecht			
532		35/17	f°	Papier	274	29 : 22																		Mitte XV		XIV/2		ab 263						Benediktinerstift St. Lambrecht			
533		33/85	f°	Papier	VII, 253	29 : 19												XVIII																			
534				Papier	178	33 : 23																		Ende XV													
535		33/15	f°	Papier	II, 178	30 : 20												XVII																			
536		42/27	f°	Papier	I, 144	30 : 21																		Ende XIV									Erhard Widmer	Benediktinerstift St. Lambrecht			
537		42/26	f°	Papier	57	31 : 21	1439	57v																										Chorherrenstift Seckau			
538		42/32	f°	Papier	I, 237	29 : 21	1478	117			1478	232		1478	233																			Benediktinerstift St. Lambrecht			
539		42/30	f°	Papier	236	30 : 22	1391	233v																										Zisterzienserstift Neuberg?			
540		42/29	f°	Papier	223	30 : 21																		Mitte XV										Benediktinerstift St. Lambrecht			
541		42/28	f°	Papier	II, 212, I 	29 : 21	1454	109			1457	158v																						Benediktinerstift St. Lambrecht			
542*		37/43	f°	Papier	280	30 : 20	1402	275v																										Zisterzienserstift Neuberg			seit 1945 verschollen
543		33/98	f°	Papier	14	33 : 21																		bald nach 1740													
544		33/88	f°	Papier	112	32 : 21																		bald nach 1688													
545		42/38	f°	Papier	328	30 : 22																		um 1400													
546*		42/54	f°	Pergament	166	30 : 21												XII																Benediktinerstift St. Lambrecht			seit 1945 verschollen ; 1991 wieder aufgetaucht, allerdings gelang es bisher nicht sie zu erwerben., seit Nov. 2012 an der ÖNB (Geschenk der steir. Fam. Loibl)
547*		42/19	f°	Papier	383	30 : 21	1468	72	37-72		1472	199	73-199	1430	376	204-376		XV															Andreas Metschacher	Chorherrenstift Seckau			seit 1945 verschollen
548		42/23	f°	Papier	I, 304, I 	29 : 21												XV/1																Chorherrenstift Seckau			
549		37/39 	f°	Papier	132	30 : 19	1637																											Chorherrenstift Seckau			
550		38/41	f°	Papier	493	30 : 22												XV																Chorherrenstift Seckau			
551		42/40	f°	Papier	243	29 : 21																		nach 1433	208	nach 1434		236v						Benediktinerstift St. Lambrecht			
552		40/59	f°	Pergament	212	29 : 20												XIII																			
553		38/40	f°	Papier, Pergament 	203	29 : 21																		Mitte XV										Benediktinerstift St. Lambrecht			Pergament (Bl. 82-89, 196-203)
554		38/51	f°	Papier	164	29 : 21																		Ende XV										Zisterzienserstift Neuberg?			
